Municipality,Population,Total Housing Units,Occupied Housing Units,Vacant Housing Units
Andover,3303,1317,1244,73
Ansonia,19249,8148,7510,638
Ashford,4317,1903,1716,187
Avon,18098,7389,7009,380
Barkhamsted,3799,1589,1452,137
Beacon Falls,6049,2509,2360,149
Berlin,19866,8140,7808,332
Bethany,5563,2044,1971,73
Bethel,18584,7310,6938,372
Bethlehem,3607,1575,1411,164
Bloomfield,20486,9019,8554,465
Bolton,4980,2015,1915,100
Bozrah,2627,1059,1007,52
Branford,28026,13972,12739,1233
Bridgeport,144229,57012,51255,5757
Bridgewater,1727,881,735,146
Bristol,60477,27011,25320,1691
Brookfield,16452,6562,6129,433
Brooklyn,8210,3235,2989,246
Burlington,9301,3389,3291,98
Canaan,1234,779,583,196
Canterbury,5132,2043,1934,109
Canton,10292,4339,4150,189
Chaplin,2305,988,920,68
Cheshire,29261,10424,10041,383
Chester,3994,1923,1714,209
Clinton,13260,6065,5303,762
Colchester,16068,6182,5915,267
Colebrook,1485,722,589,133
Columbia,5485,2308,2154,154
Cornwall,1420,1007,628,379
Coventry,12435,5099,4783,316
Cromwell,14005,6001,5752,249
Danbury,80893,31154,28907,2247
Darien,20732,7074,6698,376
Deep River,4629,2096,1940,156
Derby,12902,5849,5388,461
Durham,7388,2694,2610,84
East Granby,5148,2152,2062,90
East Haddam,9126,4508,3593,915
East Hampton,12959,5485,5060,425
East Hartford,51252,21328,20195,1133
East Haven,29257,12533,11756,777
East Lyme,19159,8458,7192,1266
East Windsor,11162,5045,4750,295
Eastford,1749,793,690,103
Easton,7490,2715,2577,138
Ellington,15602,6665,6257,408
Enfield,44654,17558,16794,764
Essex,6683,3261,2916,345
Fairfield,59404,21648,20457,1191
Farmington,25340,11106,10522,584
Franklin,1922,771,729,42
Glastonbury,34427,13656,13135,521
Goshen,2976,1664,1192,472
Granby,11282,4360,4194,166
Greenwich,61171,25631,23076,2555
Griswold,11951,5118,4646,472
Groton,40115,17978,15809,2169
Guilford,22375,9596,8715,881
Haddam,8346,3504,3218,286
Hamden,60960,25114,23727,1387
Hampton,1863,793,747,46
Hartford,124775,51822,45124,6698
Hartland,2114,856,789,67
Harwinton,5642,2282,2170,112
Hebron,9686,3567,3398,169
Kent,2979,1665,1246,419
Killingly,17370,7592,6749,843
Killingworth,6525,2598,2474,124
Lebanon,7308,3125,2644,481
Ledyard,15051,5987,5634,353
Lisbon,4338,1730,1659,71
Litchfield,8466,3975,3459,516
Lyme,2406,1223,1033,190
Madison,18269,8049,6971,1078
Manchester,58241,25996,24689,1307
Mansfield,26543,6017,5586,431
Marlborough,6404,2389,2292,97
Meriden,60868,25892,23977,1915
Middlebury,7575,2892,2748,144
Middlefield,4425,1863,1742,121
Middletown,47648,21223,19863,1360
Milford,52759,23074,21708,1366
Monroe,19479,6918,6735,183
Montville,19571,7407,6942,465
Morris,2388,1314,958,356
Naugatuck,31862,13061,12339,722
New Britain,73206,31226,28158,3068
New Canaan,19738,7551,7010,541
New Fairfield,13881,5593,4802,791
New Hartford,6970,2923,2632,291
New Haven,129779,54967,48877,6090
New London,27620,11840,10373,1467
New Milford,28142,11731,10618,1113
Newington,30562,13011,12550,461
Newtown,27560,10061,9459,602
Norfolk,1709,967,720,247
North Branford,14407,5629,5441,188
North Canaan,3315,1587,1400,187
North Haven,24093,9491,9135,356
North Stonington,5297,2306,2052,254
Norwalk,85603,35415,33217,2198
Norwich,40493,18659,16599,2060
Old Lyme,7603,5021,3172,1849
Old Saybrook,10242,5602,4247,1355
Orange,13956,5345,5123,222
Oxford,12683,4746,4504,242
Plainfield,15405,6229,5726,503
Plainville,17716,8063,7580,483
Plymouth,12243,5109,4803,306
Pomfret,4247,1684,1582,102
Portland,9508,4077,3822,255
Preston,4726,2019,1869,150
Prospect,9405,3474,3357,117
Putnam,9584,4299,3950,349
Redding,9158,3811,3470,341
Ridgefield,24638,9420,8801,619
Rocky Hill,19709,8843,8307,536
Roxbury,2262,1167,936,231
Salem,4151,1635,1525,110
Salisbury,3741,2593,1693,900
Scotland,1726,680,637,43
Seymour,16540,6968,6654,314
Sharon,2782,1775,1250,525
Shelton,39559,16146,15325,821
Sherman,3581,1831,1388,443
Simsbury,23511,9123,8776,347
Somers,11444,3479,3328,151
South Windsor,25709,10243,9918,325
Southbury,19904,9091,8213,878
Southington,43069,17447,16814,633
Sprague,2984,1248,1135,113
Stafford,12087,5124,4767,357
Stamford,122643,50573,47357,3216
Sterling,3830,1511,1383,128
Stonington,18545,9467,8115,1352
Stratford,51384,21091,20095,996
Suffield,15735,5469,5155,314
Thomaston,7887,3276,3108,168
Thompson,9458,4171,3730,441
Tolland,15052,5451,5312,139
Torrington,36383,16761,15243,1518
Trumbull,36018,13157,12725,432
Union,854,388,334,54
Vernon,29179,13896,12976,920
Voluntown,2603,1127,1002,125
Wallingford,45135,18945,18032,913
Warren,1461,811,601,210
Washington,3578,2124,1512,612
Waterbury,110366,47991,42761,5230
Waterford,19517,8634,8005,629
Watertown,22514,9096,8672,424
West Hartford,63268,26396,25258,1138
West Haven,55564,22446,21112,1334
Westbrook,6938,3937,2948,989
Weston,10179,3674,3379,295
Westport,26391,10399,9573,826
Wethersfield,26668,11677,11204,473
Willington,6041,2637,2423,214
Wilton,18062,6475,6172,303
Winchester,11242,5613,4815,798
Windham,25268,9570,8906,664
Windsor,29044,11767,11233,534
Windsor Locks,12498,5429,5223,206
Wolcott,16680,6276,6007,269
Woodbridge,8990,3478,3336,142
Woodbury,9975,4564,4214,350
Woodstock,7964,3582,3151,431
